Task_ID,Task_Description,Category,Priority,Days_Remaining,Estimated_Hours,Current_Workload,Assigned_User,Cleaned_Description
1,Fix login authentication bug,Bug,High,8,8,27,Developer_1,fix login authent bug
2,Design login page,Design,High,2,1,21,Developer_2,design login page
3,Build task management module,Development,High,18,7,93,Manager_1,build task manag modul
4,Write API documentation,Documentation,Medium,9,1,30,Designer_1,write api document
5,Test payment module,Testing,Low,25,11,23,Developer_1,test payment modul
6,Update project documentation,Documentation,Medium,12,20,43,Developer_1,updat project document
7,Update installation guide,Documentation,Low,30,13,20,Manager_1,updat instal guid
8,Validate dashboard functionality,Testing,High,29,12,83,Developer_2,valid dashboard function
9,Fix login authentication bug,Bug,High,25,10,20,Developer_2,fix login authent bug
10,Debug API response failure,Bug,Medium,21,12,30,Tester_1,debug api respons failur
11,Perform API testing,Testing,High,23,3,87,Developer_2,perform api test
12,Design mobile interface,Design,Medium,15,13,44,Manager_1,design mobil interfac
13,Create user profile page,Development,Medium,25,2,39,Developer_1,creat user profil page
14,Check application security,Testing,Medium,7,19,50,Developer_2,check applic secur
15,Document database structure,Documentation,Critical,21,15,28,Tester_1,document databas structur
16,Create REST API for products,Development,High,18,9,84,Designer_1,creat rest api product
17,Improve website layout,Design,Medium,5,17,73,Developer_1,improv websit layout
18,Correct password reset issue,Bug,Low,21,6,97,Designer_1,correct password reset issu
19,Design login page,Design,Medium,20,15,77,Tester_1,design login page
20,Design login page,Design,High,4,18,44,Tester_1,design login page
21,Fix database connection issue,Bug,Medium,15,1,43,Manager_1,fix databas connect issu
22,Build task management module,Development,Critical,28,10,91,Manager_1,build task manag modul
23,Create dashboard UI,Design,Low,25,6,79,Manager_1,creat dashboard ui
24,Resolve application crash,Bug,Medium,1,4,56,Tester_1,resolv applic crash
25,Develop user authentication module,Development,Medium,19,3,20,Designer_1,develop user authent modul
26,Correct password reset issue,Bug,Medium,5,5,94,Designer_1,correct password reset issu
27,Create dashboard UI,Design,Medium,28,20,64,Developer_2,creat dashboard ui
28,Design mobile interface,Design,High,23,10,61,Tester_1,design mobil interfac
29,Update installation guide,Documentation,Medium,8,8,18,Tester_1,updat instal guid
30,Resolve application crash,Bug,High,19,8,10,Developer_1,resolv applic crash
31,Resolve payment processing error,Bug,Low,2,11,19,Manager_1,resolv payment process error
32,Implement dashboard functionality,Development,High,7,18,26,Manager_1,implement dashboard function
33,Improve website layout,Design,Medium,16,14,34,Developer_1,improv websit layout
34,Fix user registration problem,Bug,Medium,14,14,69,Developer_1,fix user registr problem
35,Fix login authentication bug,Bug,Medium,11,4,41,Developer_2,fix login authent bug
36,Build task management module,Development,Medium,14,6,45,Designer_1,build task manag modul
37,Implement notification system,Development,Critical,15,18,22,Developer_1,implement notif system
38,Design login page,Design,Critical,30,8,31,Designer_1,design login page
39,Document database structure,Documentation,Medium,13,2,31,Designer_1,document databas structur
40,Debug API response failure,Bug,Medium,26,15,46,Designer_1,debug api respons failur
41,Design mobile interface,Design,High,5,7,47,Developer_2,design mobil interfac
42,Resolve application crash,Bug,High,2,11,17,Developer_1,resolv applic crash
43,Improve website layout,Design,Medium,28,17,30,Developer_1,improv websit layout
44,Design login page,Design,Critical,3,20,18,Developer_2,design login page
45,Update project documentation,Documentation,Critical,19,8,84,Manager_1,updat project document
46,Resolve application crash,Bug,Low,22,19,82,Manager_1,resolv applic crash
47,Test payment module,Testing,Medium,23,11,40,Tester_1,test payment modul
48,Write API documentation,Documentation,High,10,15,50,Developer_1,write api document
49,Debug API response failure,Bug,High,19,4,19,Manager_1,debug api respons failur
50,Build task management module,Development,Medium,30,12,18,Developer_2,build task manag modul
51,Test payment module,Testing,Low,27,18,100,Tester_1,test payment modul
52,Design mobile interface,Design,Medium,22,18,48,Developer_1,design mobil interfac
53,Implement dashboard functionality,Development,Low,4,18,29,Tester_1,implement dashboard function
54,Perform regression testing,Testing,Medium,11,7,97,Tester_1,perform regress test
55,Improve website layout,Design,Medium,30,2,21,Designer_1,improv websit layout
56,Test login functionality,Testing,Low,25,5,91,Tester_1,test login function
57,Create user profile page,Development,Medium,23,14,81,Developer_1,creat user profil page
58,Fix login authentication bug,Bug,Critical,23,5,79,Developer_1,fix login authent bug
59,Perform regression testing,Testing,High,14,5,15,Tester_1,perform regress test
60,Validate dashboard functionality,Testing,Critical,2,12,36,Developer_2,valid dashboard function
61,Fix database connection issue,Bug,High,29,14,89,Developer_2,fix databas connect issu
62,Implement notification system,Development,Low,26,6,62,Developer_1,implement notif system
63,Create user profile page,Development,Critical,26,14,95,Developer_2,creat user profil page
64,Perform API testing,Testing,High,4,13,14,Designer_1,perform api test
65,Create REST API for products,Development,High,15,12,49,Developer_2,creat rest api product
66,Develop user authentication module,Development,High,13,11,45,Developer_1,develop user authent modul
67,Test payment module,Testing,High,13,18,52,Developer_1,test payment modul
68,Fix database connection issue,Bug,Low,9,2,23,Manager_1,fix databas connect issu
69,Prepare user manual,Documentation,High,11,14,87,Manager_1,prepar user manual
70,Debug API response failure,Bug,Critical,7,9,15,Designer_1,debug api respons failur
71,Resolve application crash,Bug,Critical,18,7,56,Designer_1,resolv applic crash
72,Fix user registration problem,Bug,Critical,20,11,94,Developer_1,fix user registr problem
73,Perform regression testing,Testing,Medium,14,11,61,Tester_1,perform regress test
74,Create dashboard UI,Design,Low,22,13,96,Developer_2,creat dashboard ui
75,Create application prototype,Design,Medium,18,1,48,Tester_1,creat applic prototyp
76,Develop payment gateway,Development,High,20,11,69,Designer_1,develop payment gateway
77,Write technical documentation,Documentation,Medium,16,6,94,Developer_1,write technic document
78,Perform regression testing,Testing,High,20,11,21,Developer_2,perform regress test
79,Perform API testing,Testing,High,5,1,15,Developer_2,perform api test
80,Update installation guide,Documentation,High,3,15,63,Manager_1,updat instal guid
81,Create user profile page,Development,High,16,13,41,Developer_2,creat user profil page
82,Correct password reset issue,Bug,Critical,29,4,64,Developer_2,correct password reset issu
83,Implement notification system,Development,Critical,17,15,16,Manager_1,implement notif system
84,Implement notification system,Development,Low,5,15,95,Manager_1,implement notif system
85,Create application prototype,Design,Medium,25,15,88,Manager_1,creat applic prototyp
86,Update installation guide,Documentation,Medium,6,16,67,Tester_1,updat instal guid
87,Implement notification system,Development,High,25,17,72,Developer_2,implement notif system
88,Check application security,Testing,Low,10,8,44,Tester_1,check applic secur
89,Perform regression testing,Testing,Low,5,8,59,Developer_2,perform regress test
90,Develop user authentication module,Development,Medium,11,18,69,Designer_1,develop user authent modul
91,Resolve payment processing error,Bug,High,13,19,99,Developer_1,resolv payment process error
92,Improve website layout,Design,Medium,12,10,59,Designer_1,improv websit layout
93,Design mobile interface,Design,High,26,20,38,Designer_1,design mobil interfac
94,Implement dashboard functionality,Development,Medium,1,13,53,Designer_1,implement dashboard function
95,Implement notification system,Development,Medium,5,20,78,Developer_1,implement notif system
96,Update installation guide,Documentation,High,1,3,92,Designer_1,updat instal guid
97,Implement notification system,Development,Medium,2,9,58,Tester_1,implement notif system
98,Develop payment gateway,Development,Medium,25,13,45,Designer_1,develop payment gateway
99,Validate dashboard functionality,Testing,Low,1,18,16,Tester_1,valid dashboard function
100,Create user profile page,Development,Low,21,2,13,Developer_2,creat user profil page
101,Implement notification system,Development,Low,5,8,26,Designer_1,implement notif system
102,Resolve application crash,Bug,Critical,15,9,57,Developer_2,resolv applic crash
103,Create application prototype,Design,Critical,23,4,30,Tester_1,creat applic prototyp
104,Resolve application crash,Bug,Low,10,19,96,Designer_1,resolv applic crash
105,Write technical documentation,Documentation,Low,19,8,23,Tester_1,write technic document
106,Design login page,Design,High,19,2,54,Manager_1,design login page
107,Write technical documentation,Documentation,Medium,17,11,11,Designer_1,write technic document
108,Update project documentation,Documentation,Medium,12,15,100,Developer_2,updat project document
109,Write API documentation,Documentation,High,21,9,88,Manager_1,write api document
110,Document database structure,Documentation,Medium,24,19,44,Tester_1,document databas structur
111,Implement notification system,Development,Critical,9,15,41,Designer_1,implement notif system
112,Create application prototype,Design,High,11,1,73,Tester_1,creat applic prototyp
113,Develop payment gateway,Development,Medium,26,9,53,Tester_1,develop payment gateway
114,Design mobile interface,Design,Critical,18,1,76,Developer_2,design mobil interfac
115,Resolve payment processing error,Bug,High,16,18,40,Designer_1,resolv payment process error
116,Document database structure,Documentation,High,3,10,38,Designer_1,document databas structur
117,Implement dashboard functionality,Development,High,12,16,80,Manager_1,implement dashboard function
118,Check application security,Testing,Critical,18,11,55,Designer_1,check applic secur
119,Test payment module,Testing,Medium,4,7,50,Developer_1,test payment modul
120,Design mobile interface,Design,Low,7,16,45,Manager_1,design mobil interfac
121,Create application prototype,Design,Medium,4,7,47,Developer_2,creat applic prototyp
122,Perform API testing,Testing,Medium,23,18,26,Tester_1,perform api test
123,Fix login authentication bug,Bug,High,23,5,91,Designer_1,fix login authent bug
124,Correct password reset issue,Bug,Low,10,16,71,Designer_1,correct password reset issu
125,Perform API testing,Testing,Critical,9,16,24,Developer_1,perform api test
126,Document database structure,Documentation,Low,21,2,29,Developer_2,document databas structur
127,Design user profile interface,Design,Low,8,4,81,Designer_1,design user profil interfac
128,Create application prototype,Design,High,8,17,58,Designer_1,creat applic prototyp
129,Prepare user manual,Documentation,Critical,14,10,82,Manager_1,prepar user manual
130,Resolve application crash,Bug,Critical,4,7,90,Developer_2,resolv applic crash
131,Test user registration,Testing,Low,8,6,80,Developer_1,test user registr
132,Develop user authentication module,Development,Medium,23,20,70,Tester_1,develop user authent modul
133,Resolve payment processing error,Bug,Medium,10,15,19,Developer_2,resolv payment process error
134,Validate dashboard functionality,Testing,High,19,7,64,Developer_1,valid dashboard function
135,Create dashboard UI,Design,High,30,9,28,Developer_1,creat dashboard ui
136,Resolve payment processing error,Bug,High,20,19,46,Designer_1,resolv payment process error
137,Debug API response failure,Bug,High,23,13,44,Manager_1,debug api respons failur
138,Improve website layout,Design,Medium,20,2,65,Tester_1,improv websit layout
139,Design user profile interface,Design,Low,8,19,85,Developer_1,design user profil interfac
140,Perform regression testing,Testing,Low,25,6,70,Manager_1,perform regress test
141,Prepare user manual,Documentation,Low,19,14,91,Designer_1,prepar user manual
142,Debug API response failure,Bug,Medium,11,11,95,Developer_1,debug api respons failur
143,Implement dashboard functionality,Development,Medium,16,10,94,Designer_1,implement dashboard function
144,Design login page,Design,Medium,11,9,51,Developer_1,design login page
145,Update installation guide,Documentation,High,1,18,69,Designer_1,updat instal guid
146,Resolve payment processing error,Bug,Medium,20,16,90,Designer_1,resolv payment process error
147,Resolve payment processing error,Bug,Medium,5,10,66,Designer_1,resolv payment process error
148,Fix login authentication bug,Bug,Critical,20,8,100,Developer_2,fix login authent bug
149,Perform regression testing,Testing,Low,14,3,38,Developer_1,perform regress test
150,Update project documentation,Documentation,High,5,16,47,Manager_1,updat project document
151,Check application security,Testing,High,16,8,68,Manager_1,check applic secur
152,Develop payment gateway,Development,Low,20,17,27,Developer_1,develop payment gateway
153,Validate dashboard functionality,Testing,High,14,11,74,Tester_1,valid dashboard function
154,Fix database connection issue,Bug,High,27,19,84,Designer_1,fix databas connect issu
155,Develop payment gateway,Development,Medium,12,11,80,Manager_1,develop payment gateway
156,Document database structure,Documentation,Critical,28,7,99,Developer_2,document databas structur
157,Improve website layout,Design,Medium,25,14,15,Tester_1,improv websit layout
158,Write technical documentation,Documentation,Critical,13,13,94,Developer_2,write technic document
159,Update project documentation,Documentation,Low,19,11,22,Designer_1,updat project document
160,Resolve application crash,Bug,Critical,1,5,62,Developer_2,resolv applic crash
