Task_ID,Task_Description,Category,Priority,Days_Remaining,Estimated_Hours,Current_Workload,Assigned_User
1,Fix login authentication bug,Bug,High,8,8,27,Developer_1
2,Design login page,Design,High,2,1,21,Developer_2
3,Build task management module,Development,High,18,7,93,Manager_1
4,Write API documentation,Documentation,Medium,9,1,30,Designer_1
5,Test payment module,Testing,Low,25,11,23,Developer_1
6,Update project documentation,Documentation,Medium,12,20,43,Developer_1
7,Update installation guide,Documentation,Low,30,13,20,Manager_1
8,Validate dashboard functionality,Testing,High,29,12,83,Developer_2
9,Fix login authentication bug,Bug,High,25,10,20,Developer_2
10,Debug API response failure,Bug,Medium,21,12,30,Tester_1
11,Perform API testing,Testing,High,23,3,87,Developer_2
12,Design mobile interface,Design,Medium,15,13,44,Manager_1
13,Create user profile page,Development,Medium,25,2,39,Developer_1
14,Check application security,Testing,Medium,7,19,50,Developer_2
15,Document database structure,Documentation,Critical,21,15,28,Tester_1
16,Create REST API for products,Development,High,18,9,84,Designer_1
17,Improve website layout,Design,Medium,5,17,73,Developer_1
18,Correct password reset issue,Bug,Low,21,6,97,Designer_1
19,Design login page,Design,Medium,20,15,77,Tester_1
20,Design login page,Design,High,4,18,44,Tester_1
21,Fix database connection issue,Bug,Medium,15,1,43,Manager_1
22,Build task management module,Development,Critical,28,10,91,Manager_1
23,Create dashboard UI,Design,Low,25,6,79,Manager_1
24,Resolve application crash,Bug,Medium,1,4,56,Tester_1
25,Develop user authentication module,Development,Medium,19,3,20,Designer_1
26,Correct password reset issue,Bug,Medium,5,5,94,Designer_1
27,Create dashboard UI,Design,Medium,28,20,64,Developer_2
28,Design mobile interface,Design,High,23,10,61,Tester_1
29,Update installation guide,Documentation,Medium,8,8,18,Tester_1
30,Resolve application crash,Bug,High,19,8,10,Developer_1
31,Resolve payment processing error,Bug,Low,2,11,19,Manager_1
32,Implement dashboard functionality,Development,High,7,18,26,Manager_1
33,Improve website layout,Design,Medium,16,14,34,Developer_1
34,Fix user registration problem,Bug,Medium,14,14,69,Developer_1
35,Fix login authentication bug,Bug,Medium,11,4,41,Developer_2
36,Build task management module,Development,Medium,14,6,45,Designer_1
37,Implement notification system,Development,Critical,15,18,22,Developer_1
38,Design login page,Design,Critical,30,8,31,Designer_1
39,Document database structure,Documentation,Medium,13,2,31,Designer_1
40,Debug API response failure,Bug,Medium,26,15,46,Designer_1
41,Design mobile interface,Design,High,5,7,47,Developer_2
42,Resolve application crash,Bug,High,2,11,17,Developer_1
43,Improve website layout,Design,Medium,28,17,30,Developer_1
44,Design login page,Design,Critical,3,20,18,Developer_2
45,Update project documentation,Documentation,Critical,19,8,84,Manager_1
46,Resolve application crash,Bug,Low,22,19,82,Manager_1
47,Test payment module,Testing,Medium,23,11,40,Tester_1
48,Write API documentation,Documentation,High,10,15,50,Developer_1
49,Debug API response failure,Bug,High,19,4,19,Manager_1
50,Build task management module,Development,Medium,30,12,18,Developer_2
51,Test payment module,Testing,Low,27,18,100,Tester_1
52,Design mobile interface,Design,Medium,22,18,48,Developer_1
53,Implement dashboard functionality,Development,Low,4,18,29,Tester_1
54,Perform regression testing,Testing,Medium,11,7,97,Tester_1
55,Improve website layout,Design,Medium,30,2,21,Designer_1
